Reviewer,Rating,Date,Review
Agus Purusa Dharma,3,10/12/2023 12:14,"1. Sistem delivery nya masih belum maksimal, saya tunggu 1,5 jam makanan belum saya terima dan lebih banyak stuck di driver ke ritel Burger King 2. Tidak ada opsi Cancel order di app, jadi saya harus telpon call center untuk mengcancel orderan saya 3. Promo dan app lebih bagus untuk dine in saja, sistem deliverynya masih sempurna"
Efraim Lazuardi,4,10/12/2023 5:56,"Great App. It has also some ""hidden"" menus and promo compared to other food apps. It works on every store, and the staff also understand to help us using the app. My suggestion would be for notification inbox, please add ""read all inbox"" and maybe auto delete for some expired promo or delete in more than 1month"
Joseph Tjandra,5,10/10/2023 4:58,Ok
Rifki Assyudes,1,10/9/2023 21:08,"pesen makan, payment, delivery. abangny ga nemu rumah, ga ngehubungin juga. tiba"" orderanny on hold karena saya gabisa dihubungin pdhl ga dihubungin? ga ada opsi aplikasi untuk dihubungi, hubungin 1500025 sedang tidak menerima layanan? scam kah ?"
sri lestari,5,10/8/2023 9:47,cool
Tony Fadjar,5,10/7/2023 8:23,banyak diskon nya
muhamad muhyidin,5,10/6/2023 23:41,a good apps
HANDY SANDJAJA,5,10/1/2023 0:29,Belum ada referral reward nih ?
JS Smtpng,5,9/19/2023 23:06,real time
A Google user,5,9/19/2023 4:32,Bagusss
Fernaldi Aditya,1,9/18/2023 17:08,"Aplikasi ampas ganguan terus aplikasi nya engga bisa di buka muncul bacaan ""unable to parse server response please try again later"""
Resmoro Sayono,4,9/18/2023 6:10,good app.. many promo and reward
dea wibowo,5,9/13/2023 8:52,cool
Moh. Usman Ali Akbar,1,9/11/2023 16:27,stuck di verify code.
Sulaiman Abdul Karim,1,9/10/2023 19:56,"Pengalaman buruk dengan delivery, dapet gosend yg motornya lgi bermasalah, jadi harus nunggu cancel otomatis sangat lama, karna dari pihak resto gabisa berbuat apa2, sia2 delivery klo harus nunggu 1-2 jam, lebih baik dibuat tidak available saja kalau harus sesulit ini untuk delivery!!!"
Danny Pierson,5,9/9/2023 5:11,Ya kadang error sih
wahid setyo,1,9/8/2023 13:02,parah beli friyay katanya dpt 9 ayam zonk bungkusnya sj 2 isinya masing2 2 ayam jd cm dpt 4 ayam utk 88rb blm pajak klo emang ga bs ngasih 8 lbh baik jgn promo ka rest 41 tangerang
Claudina Trida,5,9/7/2023 10:41,mantaps
Rio Adhi,5,9/6/2023 22:17,apk keren banyak promonya buat makan hemat haha
Reynald Soemarno,5,9/6/2023 5:09,one of the best app. smooth experience dien in or takeaway.
Yenny Monika,1,9/4/2023 3:20,promo di aplikasi tdk bisa digunakan. ini maksudnya apa?
Jacky Phan,1,9/3/2023 6:52,Full kecewa
What's up Bro,1,9/1/2023 16:26,"Menu nya ga lengkap, Banyak yg ga ada di app, misalnya Swiss Mushroom ga ada dan masi banyak lgi.... trus menu tertentu ga bisa upsize, tempat nulis catatan cuma 15 character mau nulis apaan????"
Nurul Maulid Zami,5,9/1/2023 2:19,"Aplikasi mudah digunakan, banyak promo, keep it up BK! "
Budi Pramana,1,8/29/2023 16:28,Karena pelayanan Burger King Samarinda M Yamin 29 Agu 23 yang mengecewakan.
Muh Fauzan Bakri,1,8/27/2023 16:27,No store open padahal outlet buka
Adi Yugo,5,8/27/2023 15:29,ok
Coky Ircan,1,8/27/2023 12:35,Kalau pesanan sudah dibatalkan oleh driver seyogyanya ordernya di cancel juga saja daripada terus2an cari driver hingga terkatung katung ber jam jam 
Mahmud Atte,5,8/25/2023 11:57,Good for choose Burger King
dwisari wiguna,5,8/21/2023 9:36,ok
ERlin Siska SArie (ErSSa),4,8/20/2023 8:31,baru coba
billz chen,1,8/19/2023 10:05,Kode OTP tidak masuk masuk. Nomor hp benar dan aktif.
Dave Tan,5,8/18/2023 14:36,Good food
Rolla Qasem,5,8/18/2023 12:28,Nice
Goto Giok,1,8/17/2023 11:41,di meja pegunjung sudah tidak ada barcode lagi.... ada kalau ditanya ke kasir dan baru dikeuarkan kalau ditanya.... aplikasi tidak berguna sekarang jadinya. uninstall jadinya
Ferdi Lpu,4,8/17/2023 5:48,"Order delivery, lama. Driver tidak mau pickup tidak bisa dicancel. Contact cs sulit, contact driver sulit. Info buka tutup resto tidak tampak. Aplikasinya jauh dr kemudahan. Edit: Malem order, esoknya dikontak CS BK, dibantu refund. Selang beberapa menit uang kembali. Saran, drivernya jangan pakai gosend. Namanya gosend itu tidak ontime. Suka2 driver mau diambil kapan aja, tidak ada kejelasan. Kalo bisa kontak driver atau cs bisa via PM. karena nomer telp kadang tidak nyambung."
Lagigame Esports,1,8/14/2023 3:16,Problem saat verifikasi sms.
Venansius Gunawan,5,8/13/2023 11:10,very easy and convenience to use
Handoko Tan,5,8/13/2023 10:38,good service
Purwo ok,1,8/12/2023 11:50,Percuma install aplikasi dapat rewardnya. Setiap mau tukar reward di bk ciledug selalu error. Mampir hampir setiap minggu bilangnya selalu error. Minta email kontak cs engga di kasih.
rough fee,3,8/12/2023 11:10,common
ria cekdin,3,8/12/2023 8:44,"saya tadi pesan spicy chicken tapi gak boleh minta paha atas.. kata mbaknya ""tidak bisa request"" paling engga bilang baik2 spt ini: (""maaf bu, yg tersedia cuma paha bawah, atau ibu bersedia menunggu ?"") padahal jelas2 foto promosinya aja bentukannya paha atas.. dan pesan menu yg sama sebelum2nya blh2 aja minta paha atas kok.. apa pegawai BK gak diajarkan berkomunikasi yg baik dan santun ke pelanggan ?"
R. Dewi,2,8/12/2023 8:15,"Pesanan yang sampai tidak lengkap, e-receipt berbeda dengan struk asli. Tidak ada opsi untuk komplain pada app, sehingga harus telp / email CS nya."
Taufiq Ismail,4,8/6/2023 15:20,nice
Erwin Mekel,5,8/6/2023 2:09,Good Apps !!
antonius windy,5,8/4/2023 14:41,ok
PrayMusic,5,8/4/2023 8:49,OK
Dimaskuy,5,8/2/2023 4:12,sipp mantap
